"Urban_Area","Pop_Group","Yr","Population","Pop_Rank","Commuters","Freeway_Daily_Miles","Street_Daily_Miles","Value_of_Time","Comm_Value_of_Time","Gas_Cost","Diesel_Cost","Excess_Fuel_Gal","Excess_Fuel_Per_Com","Annual_Delay_Hours","Delay_Per_Commuter","Com_Stress_Ind","Congestion_Cost","Congest_Cost_Per_Com"
"New Haven CT 2013","Med","2013","560","74","270","7697","4005","17.39","89.6","3.82","4.2","7924","19","16380","39","1.18","389","945"
"New Haven CT 2014","Med","2014","560","75","265","7820","3929","17.67","94.04","3.65","3.87","7949","19","16430","40","1.19","384","932"
"New Orleans LA 2011","Med","2011","935","48","486","4763","7670","16.79","86.81","3.28","3.56","18376","21","38085","45","1.37","1038","1188"
"New Orleans LA 2010","Med","2010","930","47","481","4696","7562","16.3","88.12","2.61","2.84","18042","21","37392","45","1.37","1051","1203"
"New Orleans LA 2012","Med","2012","940","48","489","4950","7735","17.14","89.56","3.35","3.74","18412","21","38159","45","1.37","1019","1166"
"New Orleans LA 2013","Med","2013","955","48","497","5384","8182","17.39","89.6","3.34","3.75","18399","21","38133","45","1.36","1004","1149"
"New Orleans LA 2014","Med","2014","975","47","506","5422","8239","17.67","94.04","3.14","3.48","18895","22","39159","45","1.37","1014","1161"
"New York-Newark NY-NJ-CT 2011","Vlg","2011","18860","1","5193","117496","112322","16.79","86.81","3.65","3.99","289273","34","612512","72","1.38","15095","1784"
"New York-Newark NY-NJ-CT 2010","Vlg","2010","18800","1","5155","116913","110765","16.3","88.12","2.95","3.21","284186","34","601741","72","1.38","15297","1808"
"New York-Newark NY-NJ-CT 2012","Vlg","2012","18900","1","5215","114560","105535","17.14","89.56","3.75","4.17","291974","35","618232","73","1.39","14927","1765"
"New York-Newark NY-NJ-CT 2013","Vlg","2013","18970","1","5234","120723","108364","17.39","89.6","3.79","4.2","294204","35","622952","73","1.39","14824","1752"
"New York-Newark NY-NJ-CT 2014","Vlg","2014","19040","1","5176","122655","110098","17.67","94.04","3.42","3.65","296701","35","628241","74","1.39","14712","1739"
"Oklahoma City OK 2011","Lrg","2011","940","47","517","10647","13048","16.79","86.81","3.26","3.53","18342","20","39824","46","1.2","946","1019"
"Oklahoma City OK 2010","Lrg","2010","925","48","506","10385","12849","16.3","88.12","2.55","2.76","17683","19","38392","45","1.19","940","1013"
"Oklahoma City OK 2012","Lrg","2012","960","47","528","10500","13140","17.14","89.56","3.33","3.75","19149","21","41576","47","1.2","967","1042"
"Oklahoma City OK 2013","Lrg","2013","980","46","539","10871","13116","17.39","89.6","3.35","3.66","19864","21","43128","47","1.2","989","1066"
"Oklahoma City OK 2014","Lrg","2014","1000","45","550","11088","13287","17.67","94.04","3.21","3.43","21027","23","45652","49","1.21","1030","1110"
"Omaha NE-IA 2011","Med","2011","730","58","382","5119","6725","16.79","86.81","3.44","3.64","8844","15","16904","31","1.2","397","690"
